,Datum,WÃ¤hrung,Land,Preis,DK,DP
520,2011-07-01,ARS,Argentina,20.0,4,5.0
575,2012-01-01,ARS,Argentina,20.0,4,5.0
1877,2022-07-01,AUD,Australia,6.7,1,6.7
1878,2022-07-01,EUR,Austria,4.35,1,4.35
1879,2022-07-01,AZN,Azerbaijan,4.7,1,4.7
1880,2022-07-01,BHD,Bahrain,1.6,1,1.6
1881,2022-07-01,EUR,Belgium,4.6,1,4.6
687,2013-01-01,BRL,Brazil,11.25,1,11.25
1883,2022-07-01,GBP,Britain,3.69,1,3.69
1594,2020-07-01,CAD,Canada,6.88,1,6.88
690,2013-01-01,CLP,Chile,2050.0,471,4.35
1813,2022-01-01,CNY,China,24.4,6,4.07
692,2013-01-01,COP,Colombia,8600.0,1773,4.85
693,2013-01-01,CRC,Costa Rica,2200.0,500,4.4
1743,2021-07-01,HRK,Croatia,24.0,6,4.0
366,2008-06-01,CZK,Czech Republic,66.08,14,4.72
367,2008-06-01,DKK,Denmark,28.0,4,7.0
1087,2016-07-01,EGP,Egypt,23.0,8,2.88
1820,2022-01-01,EUR,Estonia,3.4,1,3.4
1892,2022-07-01,EUR,Estonia,3.4,1,3.4
1893,2022-07-01,EUR,Euro area,4.65,1,4.65
1894,2022-07-01,EUR,Finland,5.25,1,5.25
1895,2022-07-01,EUR,France,4.7,1,4.7
1896,2022-07-01,EUR,Germany,4.58,1,4.58
1897,2022-07-01,EUR,Greece,4.0,1,4.0
1753,2021-07-01,GTQ,Guatemala,26.0,7,3.71
1826,2022-01-01,GTQ,Guatemala,26.0,7,3.71
1898,2022-07-01,GTQ,Guatemala,26.0,7,3.71
1754,2021-07-01,HNL,Honduras,87.0,23,3.78
1828,2022-01-01,HKD,Hong Kong,22.0,7,3.14
371,2008-06-01,HUF,Hungary,670.0,144,4.65
1264,2018-01-01,INR,India,180.0,63,2.86
706,2013-01-01,IDR,Indonesia,27939.0,9767,2.86
1904,2022-07-01,EUR,Ireland,5.0,1,5.0
763,2013-07-01,ILS,Israel,17.5,3,5.83
818,2014-01-01,ILS,Israel,17.5,3,5.83
874,2014-07-01,ILS,Israel,17.5,3,5.83
931,2015-01-01,ILS,Israel,17.5,3,5.83
987,2015-07-01,ILS,Israel,17.5,3,5.83
1906,2022-07-01,EUR,Italy,5.1,1,5.1
602,2012-01-01,JPY,Japan,320.0,76,4.21
1475,2019-07-09,JOD,Jordan,2.3,1,2.3
1547,2020-01-14,JOD,Jordan,2.3,1,2.3
1619,2020-07-01,JOD,Jordan,2.3,1,2.3
1691,2021-01-01,JOD,Jordan,2.3,1,2.3
1908,2022-07-01,JOD,Jordan,2.3,1,2.3
1909,2022-07-01,KWD,Kuwait,1.3,1,1.3
1910,2022-07-01,EUR,Latvia,3.0,1,3.0
1622,2020-07-01,LBP,Lebanon,9000.0,1512,5.95
877,2014-07-01,EUR,Lithuania,8.95,2,4.47
548,2011-07-01,MYR,Malaysia,7.2,2,3.6
879,2014-07-01,MXN,Mexico,42.0,12,3.5
935,2015-01-01,MXN,Mexico,49.0,14,3.5
1914,2022-07-01,MXN,Mexico,70.0,20,3.5
1915,2022-07-01,MDL,Moldova,60.0,19,3.16
1916,2022-07-01,EUR,Netherlands,4.5,1,4.5
1917,2022-07-01,NZD,New Zealand,7.1,1,7.1
1918,2022-07-01,NIO,Nicaragua,139.0,35,3.97
552,2011-07-01,NOK,Norway,45.0,5,9.0
1920,2022-07-01,OMR,Oman,1.42,1,1.42
1107,2016-07-01,PKR,Pakistan,375.0,104,3.61
1163,2017-01-01,PKR,Pakistan,375.0,104,3.61
502,2010-07-01,PEN,Peru,10.0,2,5.0
554,2011-07-01,PEN,Peru,10.0,2,5.0
609,2012-01-01,PEN,Peru,10.0,2,5.0
717,2013-01-01,PEN,Peru,10.0,2,5.0
772,2013-07-01,PEN,Peru,10.0,2,5.0
828,2014-01-01,PEN,Peru,10.0,2,5.0
884,2014-07-01,PEN,Peru,10.0,2,5.0
885,2014-07-01,PHP,Philippines,160.0,43,3.72
1779,2021-07-01,PLN,Poland,13.43,3,4.48
665,2012-07-01,EUR,Portugal,4.95,1,4.95
1493,2019-07-09,QAR,Qatar,13.0,3,4.33
1565,2020-01-14,QAR,Qatar,13.0,3,4.33
1637,2020-07-01,QAR,Qatar,13.0,3,4.33
1709,2021-01-01,QAR,Qatar,13.0,3,4.33
1781,2021-07-01,QAR,Qatar,13.0,3,4.33
1854,2022-01-01,QAR,Qatar,13.0,3,4.33
1926,2022-07-01,QAR,Qatar,13.0,3,4.33
1350,2018-07-01,RON,Romania,9.2,3,3.07
558,2011-07-01,RUB,Russia,75.0,27,2.78
1928,2022-07-01,SAR,Saudi Arabia,17.0,3,5.67
1569,2020-01-14,SGD,Singapore,5.9,1,5.9
1641,2020-07-01,SGD,Singapore,5.9,1,5.9
1713,2021-01-01,SGD,Singapore,5.9,1,5.9
1785,2021-07-01,SGD,Singapore,5.9,1,5.9
1858,2022-01-01,SGD,Singapore,5.9,1,5.9
1929,2022-07-01,SGD,Singapore,5.9,1,5.9
1930,2022-07-01,EUR,Slovakia,3.9,1,3.9
1931,2022-07-01,EUR,Slovenia,3.2,1,3.2
561,2011-07-01,ZAR,South Africa,19.45,6,3.24
1284,2018-01-01,KRW,South Korea,4400.0,1069,4.12
1863,2022-01-01,EUR,Spain,4.58,1,4.58
1934,2022-07-01,EUR,Spain,4.58,1,4.58
1864,2022-01-01,LKR,Sri Lanka,840.0,202,4.16
565,2011-07-01,SEK,Sweden,48.4,6,8.07
389,2008-06-01,CHF,Switzerland,6.5,1,6.5
430,2009-07-01,CHF,Switzerland,6.5,1,6.5
471,2010-01-01,CHF,Switzerland,6.5,1,6.5
512,2010-07-01,CHF,Switzerland,6.5,1,6.5
566,2011-07-01,CHF,Switzerland,6.5,1,6.5
621,2012-01-01,CHF,Switzerland,6.5,1,6.5
674,2012-07-01,CHF,Switzerland,6.5,1,6.5
729,2013-01-01,CHF,Switzerland,6.5,1,6.5
784,2013-07-01,CHF,Switzerland,6.5,1,6.5
840,2014-01-01,CHF,Switzerland,6.5,1,6.5
952,2015-01-01,CHF,Switzerland,6.5,1,6.5
1008,2015-07-01,CHF,Switzerland,6.5,1,6.5
1064,2016-01-01,CHF,Switzerland,6.5,1,6.5
1120,2016-07-01,CHF,Switzerland,6.5,1,6.5
1176,2017-01-01,CHF,Switzerland,6.5,1,6.5
1232,2017-07-01,CHF,Switzerland,6.5,1,6.5
1288,2018-01-01,CHF,Switzerland,6.5,1,6.5
1361,2018-07-01,CHF,Switzerland,6.5,1,6.5
1433,2019-01-01,CHF,Switzerland,6.5,1,6.5
1505,2019-07-09,CHF,Switzerland,6.5,1,6.5
1577,2020-01-14,CHF,Switzerland,6.5,1,6.5
1649,2020-07-01,CHF,Switzerland,6.5,1,6.5
1721,2021-01-01,CHF,Switzerland,6.5,1,6.5
1793,2021-07-01,CHF,Switzerland,6.5,1,6.5
1866,2022-01-01,CHF,Switzerland,6.5,1,6.5
1937,2022-07-01,CHF,Switzerland,6.5,1,6.5
1867,2022-01-01,TWD,Taiwan,75.0,27,2.78
1723,2021-01-01,THB,Thailand,128.0,30,4.27
787,2013-07-01,TRY,Turkey,8.5,1,8.5
1236,2017-07-01,AED,UAE,14.0,3,4.67
1292,2018-01-01,AED,UAE,14.0,3,4.67
394,2008-06-01,UAH,Ukraine,11.0,4,2.75
1941,2022-07-01,AED,United Arab Emirates,18.0,3,6.0
1942,2022-07-01,USD,United States,5.15,1,5.15
1943,2022-07-01,UYU,Uruguay,255.0,41,6.22
737,2013-01-01,VEF,Venezuela,39.0,4,9.75
1875,2022-01-01,VND,Vietnam,69000.0,22650,3.05
